,KOSPI 200 콜옵션 1811 265.0,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43385.39047,14,3.32,▲  ,5,43412.39047,5,BB ,17500000,0,58,1,0.45,0,0,58,1,10,1,10,0,0,0,0
43385.39799,14.1,4.06,▲  ,7,43412.39799,2,SS ,24550000,0,58,2,0.55,13.9,14.3,58,1,10,1,4,5,80,5,74
43385.45001,14.5,7.01,▲  ,8,43412.45001,1,S  ,28175000,0,57,3,0.95,14.5,15.2,57,2,26,1,9,6,136,5,79
43385.4778,15.05,11.07,▲  ,10,43412.4778,2,BB ,35700000,66.67,58,4,1.5,14.8,15.2,58,1,10,1,10,5,72,5,80
43385.535,15.4,13.65,▲  ,12,43412.535,2,BB ,43400000,133.33,60,5,1.85,14.9,15.8,60,1,10,1,10,5,120,5,80
43385.53507,15.5,14.39,▲  ,14,43412.53507,2,SS ,51150000,80,61,6,1.95,15.45,15.8,61,1,10,1,10,5,120,5,100
43385.53586,15.6,15.13,▲  ,15,43412.53586,1,BB ,55050000,100,63,7,2.05,15.55,15.7,63,1,7,1,7,5,38,6,78
43385.53656,15.6,15.13,▲  ,16,43412.53656,1,BB ,58950000,120,64,8,2.05,15.55,15.65,64,1,7,1,7,5,44,5,35
43385.59938,16.8,23.99,▲  ,17,43412.59938,1,SS ,63150000,100,65,9,3.25,16.65,16.85,65,1,2,1,2,5,72,5,42
43385.6224,15.75,16.24,▲  ,19,43412.6224,2,BB ,71025000,133.33,65,10,2.2,15.55,15.9,65,1,10,1,2,5,80,5,42
