,KOSPI 200 ─▌┐╔╝╟ 1811 277.5,,,,,,,,,,,,,,,,,,,,,,
╜├░г,╟Ў└ч░б,╡ю╢Ї└▓,╡ю╢Ї▒╕║╨,░┼╖б╖о,├╝░с╜├░г,├╝░с╖о,├╝░с╝║╟т,░┼╖б┤ы▒▌,├╝░с░н╡╡,╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с╣°╚г,┤ы║ё,├╝░с╕┼╝Ў╚г░б,├╝░с╕┼╡╡╚г░б,├╝░с╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с┐ь╝▒╚г░б╕┼╡╡░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╡╡└▄╖о,├╝░с┐ь╝▒╚г░б╕┼╝Ў░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╝Ў└▄╖о,├╝░с5╚г░б╕┼╡╡░╟╝Ў,├╝░с5╚г░б╕┼╡╡└▄╖о,├╝░с5╚г░б╕┼╝Ў░╟╝Ў,├╝░с5╚г░б╕┼╝Ў└▄╖о
43390.375,6.09,34.14,бу  ,12,43412.375,12,B  ,18270000,0,5904,1,1.55,0,0,5904,0,0,0,0,0,0,0,0
43390.37501,6,32.16,бу  ,16,43412.37501,4,S  ,24270000,0,5904,2,1.46,6,6.25,5904,1,1,1,1,5,5,5,44
43390.37501,6,32.16,бу  ,17,43412.37501,1,S  ,25770000,0,5904,3,1.46,6,6.25,5904,1,1,1,1,5,5,5,44
43390.37502,6.18,36.12,бу  ,18,43412.37502,1,B  ,27315000,0,5904,4,1.64,5.85,6.18,5904,1,10,1,11,5,44,5,45
43390.37524,5.89,29.74,бу  ,19,43412.37524,1,S  ,28788000,0,5818,5,1.35,5.89,6.02,5818,1,11,1,11,5,45,5,45
43390.3755,5.92,30.4,бу  ,23,43412.3755,4,SS ,34708000,0,5818,6,1.38,5.87,6,5818,1,4,1,11,7,53,5,45
43390.37554,5.89,29.74,бу  ,24,43412.37554,1,SS ,36180000,0,5818,7,1.35,5.88,5.98,5818,1,11,1,20,5,45,5,64
43390.37554,5.88,29.52,бу  ,25,43412.37554,1,S  ,37650000,0,5818,8,1.34,5.88,5.98,5818,1,11,1,19,5,45,5,63
43390.37554,5.88,29.52,бу  ,27,43412.37554,2,S  ,40590000,0,5818,9,1.34,5.88,5.98,5818,1,11,1,17,5,45,5,61
43390.37554,5.88,29.52,бу  ,28,43412.37554,1,S  ,42060000,0,5818,10,1.34,5.88,5.98,5818,1,11,1,16,5,45,5,60
43390.37554,5.88,29.52,бу  ,30,43412.37554,2,S  ,45000000,0,5818,11,1.34,5.88,5.98,5818,1,11,1,14,5,45,5,58
43390.37554,5.88,29.52,бу  ,32,43412.37554,2,S  ,47940000,0,5818,12,1.34,5.88,5.98,5818,1,11,1,12,5,45,5,56
43390.37554,5.88,29.52,бу  ,34,43412.37554,2,S  ,50880000,0,5818,13,1.34,5.88,5.98,5818,1,11,1,10,5,45,5,54
43390.37554,5.88,29.52,бу  ,36,43412.37554,2,S  ,53820000,0,5818,14,1.34,5.88,5.98,5818,1,11,1,8,5,45,6,53
43390.37554,5.88,29.52,бу  ,39,43412.37554,3,S  ,58230000,0,5818,15,1.34,5.88,5.97,5818,1,1,1,5,5,45,6,50
43390.37554,5.88,29.52,бу  ,42,43412.37554,3,S  ,62640000,0,5818,16,1.34,5.88,5.97,5818,1,1,1,2,5,45,6,47
43390.37554,5.88,29.52,бу  ,43,43412.37554,1,S  ,64110000,0,5818,17,1.34,5.88,5.96,5818,1,4,1,1,5,38,6,46
43390.37554,5.88,29.52,бу  ,44,43412.37554,1,S  ,65580000,0,5818,18,1.34,5.88,5.96,5818,1,4,1,1,5,38,6,46
43390.37564,5.86,29.07,бу  ,48,43412.37564,4,B  ,71440000,0,5818,19,1.32,5.88,5.96,5818,1,4,1,1,8,48,6,39
43390.37564,5.88,29.52,бу  ,50,43412.37564,2,BB ,74380000,0,5818,20,1.34,5.8,5.89,5818,2,15,1,1,8,54,6,39
43390.37565,5.8,27.75,бу  ,51,43412.37565,1,S  ,75830000,0,5821,21,1.26,5.8,5.84,5821,1,4,1,20,5,53,6,65
43390.37565,5.8,27.75,бу  ,52,43412.37565,1,S  ,77280000,0,5821,22,1.26,5.8,5.84,5821,1,4,1,19,5,53,5,53
43390.37565,5.8,27.75,бу  ,71,43412.37565,19,S  ,104830000,0,5821,23,1.26,5.8,5.84,5821,1,1,1,19,5,43,5,53
43390.37572,5.77,27.09,бу  ,72,43412.37572,1,SS ,106273000,0,5821,24,1.23,5.76,5.83,5821,1,5,1,8,7,57,5,46
43390.37575,5.78,27.31,бу  ,76,43412.37575,4,BB ,112053000,0,5821,25,1.24,5.72,5.8,5821,3,6,1,8,10,57,9,54
43390.37576,5.8,27.75,бу  ,77,43412.37576,1,BB ,113503000,0,5821,26,1.26,5.74,5.82,5821,1,1,1,8,7,51,9,58
