,#QUERYING,,,,,,,,,,,,,,,,,,,,,,
시간,현재가,등락율,등락구분,거래량,체결시간,체결량,체결성향,거래대금,체결강도,미결제약정수량,체결번호,대비,체결매수호가,체결매도호가,체결미결제약정수량,체결우선호가매도건수,체결우선호가매도잔량,체결우선호가매수건수,체결우선호가매수잔량,체결5호가매도건수,체결5호가매도잔량,체결5호가매수건수,체결5호가매수잔량
43392.375,3.41,-20.14,▼  ,43,43412.375,43,B  ,36658000,0,6129,1,-0.86,0,0,6129,0,0,0,0,0,0,0,0
43392.37505,3.35,-21.55,▼  ,74,43412.37505,31,SS ,62620000,0,6129,2,-0.92,3.3,3.49,6129,1,2,1,12,6,51,6,68
43392.37529,3.3,-22.72,▼  ,76,43412.37529,2,B  ,64270000,0,6311,3,-0.97,3.3,3.49,6311,2,2,1,1,6,6,7,51
43392.37531,3.29,-22.95,▼  ,79,43412.37531,3,BB ,66738000,0,6311,4,-0.98,3.24,3.32,6311,1,1,1,1,8,42,7,58
43392.37531,3.29,-22.95,▼  ,80,43412.37531,1,B  ,67560000,0,6311,5,-0.98,3.24,3.32,6311,1,1,1,1,7,29,7,58
43392.37534,3.22,-24.59,▼  ,82,43412.37534,2,S  ,69170000,0,6311,6,-1.05,3.24,3.32,6311,2,4,2,2,7,9,7,51
43392.37534,3.21,-24.82,▼  ,83,43412.37534,1,SS ,69973000,0,6311,7,-1.06,3.2,3.21,6311,1,46,1,19,7,54,8,77
43392.37534,3.21,-24.82,▼  ,129,43412.37534,46,SS ,106888000,0,6311,8,-1.06,3.2,3.21,6311,1,46,1,19,7,54,8,77
43392.37534,3.28,-23.19,▼  ,130,43412.37534,1,BB ,107708000,0,6311,9,-0.99,3.23,3.29,6311,2,4,2,2,7,9,8,81
43392.37534,3.25,-23.89,▼  ,133,43412.37534,3,BB ,110145000,0,6311,10,-1.02,3.23,3.29,6311,2,4,2,2,9,33,9,93
43392.37535,3.24,-24.12,▼  ,136,43412.37535,3,BB ,112575000,0,6311,11,-1.03,3.23,3.27,6311,3,5,2,4,12,28,8,72
43392.37535,3.23,-24.36,▼  ,139,43412.37535,3,S  ,114998000,0,6311,12,-1.04,3.23,3.27,6311,3,5,1,1,12,28,7,69
43392.37536,3.24,-24.12,▼  ,140,43412.37536,1,SS ,115808000,0,6311,13,-1.03,3.23,3.27,6311,3,5,1,1,13,34,7,69
43392.37536,3.22,-24.59,▼  ,143,43412.37536,3,S  ,118223000,0,6311,14,-1.05,3.22,3.24,6311,2,2,1,27,9,17,8,71
43392.37537,3.22,-24.59,▼  ,170,43412.37537,27,SS ,139958000,0,6311,15,-1.05,3.21,3.24,6311,3,5,1,1,10,20,8,50
43392.37537,3.21,-24.82,▼  ,171,43412.37537,1,SS ,140760000,0,6311,16,-1.06,3.2,3.22,6311,1,3,2,20,9,24,11,78
43392.37537,3.2,-25.06,▼  ,174,43412.37537,3,S  ,143160000,0,6311,17,-1.07,3.2,3.22,6311,2,4,2,17,9,24,11,75
43392.37541,3.2,-25.06,▼  ,191,43412.37541,17,S  ,156760000,0,6311,18,-1.07,3.2,3.22,6311,2,11,2,17,10,23,8,45
43392.37541,3.2,-25.06,▼  ,192,43412.37541,1,BB ,157560000,0,6311,19,-1.07,3.18,3.21,6311,1,1,2,6,10,24,9,31
43392.37542,3.18,-25.53,▼  ,197,43412.37542,5,SS ,161535000,0,6311,20,-1.09,3.17,3.19,6311,2,9,1,1,12,35,8,42
43392.37542,3.19,-25.29,▼  ,198,43412.37542,1,BB ,162333000,0,6311,21,-1.08,3.17,3.2,6311,3,10,2,4,12,44,10,45
43392.37542,3.2,-25.06,▼  ,200,43412.37542,2,BB ,163933000,0,6311,22,-1.07,3.18,3.21,6311,1,1,1,1,10,35,10,36
43392.37543,3.18,-25.53,▼  ,201,43412.37543,1,S  ,164728000,0,6311,23,-1.09,3.18,3.2,6311,3,5,1,7,12,28,8,34
43392.37544,3.19,-25.29,▼  ,204,43412.37544,3,BB ,167120000,0,6311,24,-1.08,3.18,3.2,6311,2,2,1,3,11,25,11,31
43392.37544,3.18,-25.53,▼  ,205,43412.37544,1,S  ,167915000,0,6311,25,-1.09,3.18,3.2,6311,2,2,1,2,11,25,11,30
43392.37544,3.2,-25.06,▼  ,207,43412.37544,2,BB ,169515000,0,6311,26,-1.07,3.18,3.21,6311,3,5,1,2,11,38,11,30
43392.37545,3.21,-24.82,▼  ,208,43412.37545,1,B  ,170318000,0,6294,27,-1.06,3.18,3.21,6294,1,1,1,8,10,16,9,21
43392.37545,3.22,-24.59,▼  ,212,43412.37545,4,BB ,173538000,0,6294,28,-1.05,3.2,3.23,6294,3,5,1,8,11,30,9,21
43392.37545,3.23,-24.36,▼  ,217,43412.37545,5,BB ,177575000,0,6294,29,-1.04,3.2,3.24,6294,2,2,1,8,10,40,10,22
43392.37547,3.22,-24.59,▼  ,218,43412.37547,1,SS ,178380000,0,6294,30,-1.05,3.21,3.23,6294,1,3,3,4,12,45,13,22
43392.37547,3.21,-24.82,▼  ,219,43412.37547,1,S  ,179183000,0,6294,31,-1.06,3.21,3.23,6294,2,2,1,2,12,40,11,20
43392.37547,3.23,-24.36,▼  ,220,43412.37547,1,B  ,179990000,0,6294,32,-1.04,3.21,3.23,6294,1,1,3,6,11,39,14,25
43392.37549,3.21,-24.82,▼  ,222,43412.37549,2,SS ,181595000,0,6294,33,-1.06,3.2,3.22,6294,2,7,2,3,12,29,12,31
43392.37549,3.2,-25.06,▼  ,223,43412.37549,1,S  ,182395000,0,6294,34,-1.07,3.2,3.21,6294,1,1,1,1,11,23,11,29
43392.37549,3.22,-24.59,▼  ,224,43412.37549,1,B  ,183200000,0,6294,35,-1.05,3.2,3.21,6294,1,1,1,3,8,18,11,18
43392.37552,3.2,-25.06,▼  ,226,43412.37552,2,SS ,184800000,0,6294,36,-1.07,3.19,3.22,6294,3,5,2,2,13,41,15,29
43392.37553,3.2,-25.06,▼  ,228,43412.37553,2,B  ,186400000,0,6294,37,-1.07,3.19,3.22,6294,2,2,3,4,12,24,13,29
43392.37553,3.21,-24.82,▼  ,230,43412.37553,2,BB ,188005000,0,6294,38,-1.06,3.19,3.22,6294,2,4,4,9,10,38,17,35
